id,pattern,token_count,update_date,label,para
1401.8008,"code, package, code available, github, code package",56,04/27/22,2,"So we can solve the dual comparison problem (18) using any eﬃcient SVM solver, such as libsvm (Chang & Lin 2011). We used the R interface in the kernlab package (Karatzoglou et al. 2004), and our code is available in the rankSVMcompare package on Github."
1401.8008,data,103,,,"Comparison data also results when considering subjective human evaluations of pairs of items. For example, if each item is a movie, a person might say that Les Misérables is better than Star Wars, and The Empire Strikes Back is as good as Star Wars. Another example is rating food items such as wine, in which a person may prefer one wine to another, but not be able to perceive a diﬀerence between two other wines. In this context, it is important to use a model which can predict no diﬀerence between two items."
1401.8008,data,11,,,4. Comparison to SVMrank in sushi and simulated data sets
1401.8008,data,112,,,"Fig. 6. Test AUC for each model used after training on the ﬁrst 4 months of match data in the 8 different 12-month periods. All SVM model AUCs are shown in addition to AUC of the ELO, Glicko scores and trivial model. The plots in black show the trivial AUC calculated by predicting the most common positive label. The plots in dark blue are AUC values obtained from using Glicko or ELO scores only. The plots in light blue show the AUC distribution from models using only ELO and Glicko features and plots in white are AUC values from models using all computed features."
1401.8008,data,113,,,"The goal of learning to compare is to accurately predict a test set of labeled pairs (2), which includes equality yi = 0 pairs. We test the SVMcompare algorithm alongside two baseline models that use SVMrank (Joachims 2002). We chose SVMrank as a baseline because of its similar large-margin learning formulation, to demonstrate the importance of directly modeling the equality yi = 0 pairs. SVMrank does not directly model the equality yi = 0 pairs, so we expect that the proposed SVMcompare algorithm makes better predictions when these data are present. The diﬀerences between the algorithms are summarized in Table 2:"
1401.8008,data,115,,,"Lemma 3.1 establishes the fact that one can learn a ranking function r and a corresponding comparison function c1, deﬁned in (5), by solving either the LP (7) or the QP (12). To make corresponding learning problems for non linearly-separable data as deﬁned by the linear separability test in this section, one can add slack variables to either the QP or the LP. In the next subsection, we pursue only the QP, since it leads to a dual problem with a sparse solution that can be solved by any standard SVM solver such as libsvm (Chang & Lin 2011)."
1401.8008,data,138,,,"In this subsection, we assume the data are not linearly separable, and want to learn a nonlinear ranking function. We deﬁne a positive deﬁnite kernel κ : Rp × Rp → R, which implicitly deﬁnes an enlarged set of features Φ(x) (middle panel of Figure 1). As in (9), we learn a function f (x) = β + u⊺Φ(x) which is aﬃne in the feature space. Let α, α′ ∈ Rm be coeﬃcients such that u = i), and so we have m i=1(αiκ(˜xi, x) + α′ f (x) = β + i, x)). We then use Lemma 3.1 to deﬁne the ranking function"
1401.8008,data,15,,,"Overall from the sushi data, it is clear that the proposed SVMcompare model performs"
1401.8008,data,15,,,"generalizes to a test set of data, as measured by the zero-one loss:"
1401.8008,data,161,,,"In Figure 5 we ﬁxed the number of training pairs n = 400 and varied the proportion ρ of equality pairs for the three simulated squared norm ranking functions r. We select the model with maximum area under the validation set ROC curve, then use test set AUC to evaluate the learned models. All methods perform close to the optimal true ranking function when r(x) = ||x||2 2. For the other patterns, it is clear that all the methods perform similarly when there are mostly inequality pairs (ρ = 0.1), since SVMrank was designed for this type of training data. In contrast, when there are mostly equality pairs (ρ = 0.9), the compare and rank2 methods clearly outperform the rank method, which ignores the equality pairs. It is also clear that the rank2 and compare methods perform similarly in terms of test AUC."
