id,submitter,authors,title,comments,journal-ref,doi,report-no,categories,license,abstract,versions,update_date,authors_parsed
2011.08596,Jonathan Crabb\'e,"Jonathan Crabb\'e, Yao Zhang, William Zame, Mihaela van der Schaar",Learning outside the Black-Box: The pursuit of interpretable models,"presented in 34th Conference on Neural Information Processing Systems
  (NeurIPS 2020)","Advances in Neural Information Processing Systems 33 (2020)
  17838-17849",,,cs.LG cs.AI,http://creativecommons.org/licenses/by/4.0/,"  Machine Learning has proved its ability to produce accurate models but the
deployment of these models outside the machine learning community has been
hindered by the difficulties of interpreting these models. This paper proposes
an algorithm that produces a continuous global interpretation of any given
continuous black-box function. Our algorithm employs a variation of projection
pursuit in which the ridge functions are chosen to be Meijer G-functions,
rather than the usual polynomial splines. Because Meijer G-functions are
differentiable in their parameters, we can tune the parameters of the
representation by gradient descent; as a consequence, our algorithm is
efficient. Using five familiar data sets from the UCI repository and two
familiar machine learning algorithms, we demonstrate that our algorithm
produces global interpretations that are both highly accurate and parsimonious
(involve a small number of terms). Our interpretations permit easy
understanding of the relative importance of features and feature interactions.
Our interpretation algorithm represents a leap forward from the previous state
of the art.
","[{'version': 'v1', 'created': 'Tue, 17 Nov 2020 12:39:44 GMT'}]",2021-03-19,"[['Crabbé', 'Jonathan', ''], ['Zhang', 'Yao', ''], ['Zame', 'William', ''], ['van der Schaar', 'Mihaela', '']]"
2111.11616,Venkata Bhanu Teja Pallakonda,Venkata Bhanu Teja Pallakonda,Using mixup as regularization and tuning hyper-parameters for ResNets,"6 pages, 7 figures, 2 tables",,,,cs.CV cs.LG,http://creativecommons.org/licenses/by/4.0/,"  While novel computer vision architectures are gaining traction, the impact of
model architectures is often related to changes or exploring in training
methods. Identity mapping-based architectures ResNets and DenseNets have
promised path-breaking results in the image classification task and are go-to
methods for even now if the data given is fairly limited. Considering the ease
of training with limited resources this work revisits the ResNets and improves
the ResNet50 \cite{resnets} by using mixup data-augmentation as regularization
and tuning the hyper-parameters.
","[{'version': 'v1', 'created': 'Tue, 23 Nov 2021 02:33:24 GMT'}]",2021-11-24,"[['Pallakonda', 'Venkata Bhanu Teja', '']]"
2006.11206,Yuval Wigderson,Avi Wigderson and Yuval Wigderson,The uncertainty principle: variations on a theme,43 pages,,,,math.FA cs.IT math-ph math.CO math.GR math.IT math.MP,http://creativecommons.org/licenses/by/4.0/,"  We show how a number of well-known uncertainty principles for the Fourier
transform, such as the Heisenberg uncertainty principle, the Donoho--Stark
uncertainty principle, and Meshulam's non-abelian uncertainty principle, have
little to do with the structure of the Fourier transform itself. Rather, all of
these results follow from very weak properties of the Fourier transform (shared
by numerous linear operators), namely that it is bounded as an operator $L^1
\to L^\infty$, and that it is unitary. Using a single, simple proof template,
and only these (or weaker) properties, we obtain some new proofs and many
generalizations of these basic uncertainty principles, to new operators and to
new settings, in a completely unified way. Together with our general overview,
this paper can also serve as a survey of the many facets of the phenomena known
as uncertainty principles.
","[{'version': 'v1', 'created': 'Fri, 19 Jun 2020 16:19:15 GMT'}, {'version': 'v2', 'created': 'Fri, 21 Aug 2020 16:48:19 GMT'}, {'version': 'v3', 'created': 'Fri, 11 Sep 2020 15:18:20 GMT'}]",2020-09-14,"[['Wigderson', 'Avi', ''], ['Wigderson', 'Yuval', '']]"
1803.00618,Marcelo S. Reis,Marcelo S. Reis,"Finding steady-state solutions for ODE systems of zero, first and
  homogeneous second-order chemical reactions is NP-hard","8 pages, 7 references",,,,cs.CC,http://creativecommons.org/licenses/by/4.0/,"  In the context of modeling of cell signaling pathways, a relevant step is
finding steady-state solutions for ODE systems that describe the kinetics of a
set of chemical reactions, especially sets composed of zero, first, and
second-order reactions. To compute a steady-state solution, one must set the
left-hand side of each ODE as zero, hence obtaining a system of non-negative,
quadratic polynomial equations. If all second-order reactions are homogeneous
in respect to their reactants, then the obtained quadratic polynomial equation
system will also have univariate monomials. Although it is a well-known fact
that finding a root of a quadratic polynomial equation system is a NP-hard
problem, it is not so easy to find a readily available proof of NP-hardness for
special cases like the aforementioned one. Therefore, we provide here a
self-contained proof that finding a root of non-negative, with univariate
monomials quadratic polynomial equation system (NUMQ-PES) is NP-hard. This
result implies that finding steady-state solutions for ODE systems of zero,
first and homogeneous second-order chemical reactions is a NP-hard problem;
hence, it is not a feasible approach to approximate non-homogeneous
second-order reactions into homogeneous ones.
","[{'version': 'v1', 'created': 'Tue, 27 Feb 2018 14:33:36 GMT'}, {'version': 'v2', 'created': 'Tue, 10 Apr 2018 13:48:34 GMT'}]",2018-04-11,"[['Reis', 'Marcelo S.', '']]"
2201.10945,Won-Yong Shin,"Jin-Duk Park, Cong Tran, Won-Yong Shin, Xin Cao","On the Power of Gradual Network Alignment Using Dual-Perception
  Similarities","16 pages, 11 figures, 4 tables; its two-page extended summary to be
  presented in the AAAI-22 Student Abstract and Poster Program",,,,cs.SI cs.AI cs.LG cs.NE cs.NI,http://creativecommons.org/licenses/by/4.0/,"  Network alignment (NA) is the task of finding the correspondence of nodes
between two networks based on the network structure and node attributes. Our
study is motivated by the fact that, since most of existing NA methods have
attempted to discover all node pairs at once, they do not harness information
enriched through interim discovery of node correspondences to more accurately
find the next correspondences during the node matching. To tackle this
challenge, we propose Grad-Align, a new NA method that gradually discovers node
pairs by making full use of node pairs exhibiting strong consistency, which are
easy to be discovered in the early stage of gradual matching. Specifically,
Grad-Align first generates node embeddings of the two networks based on graph
neural networks along with our layer-wise reconstruction loss, a loss built
upon capturing the first-order and higher-order neighborhood structures. Then,
nodes are gradually aligned by computing dual-perception similarity measures
including the multi-layer embedding similarity as well as the Tversky
similarity, an asymmetric set similarity using the Tversky index applicable to
networks with different scales. Additionally, we incorporate an edge
augmentation module into Grad-Align to reinforce the structural consistency.
Through comprehensive experiments using real-world and synthetic datasets, we
empirically demonstrate that Grad-Align consistently outperforms
state-of-the-art NA methods.
","[{'version': 'v1', 'created': 'Wed, 26 Jan 2022 14:01:32 GMT'}]",2022-01-27,"[['Park', 'Jin-Duk', ''], ['Tran', 'Cong', ''], ['Shin', 'Won-Yong', ''], ['Cao', 'Xin', '']]"
2007.01675,Michael Chappell,"Michael A. Chappell, Martin S. Craig, Mark W. Woolrich",Stochastic Variational Bayesian Inference for a Nonlinear Forward Model,,,,,eess.SP stat.AP stat.ML,http://creativecommons.org/licenses/by/4.0/,"  Variational Bayes (VB) has been used to facilitate the calculation of the
posterior distribution in the context of Bayesian inference of the parameters
of nonlinear models from data. Previously an analytical formulation of VB has
been derived for nonlinear model inference on data with additive gaussian noise
as an alternative to nonlinear least squares. Here a stochastic solution is
derived that avoids some of the approximations required of the analytical
formulation, offering a solution that can be more flexibly deployed for
nonlinear model inference problems. The stochastic VB solution was used for
inference on a biexponential toy case and the algorithmic parameter space
explored, before being deployed on real data from a magnetic resonance imaging
study of perfusion. The new method was found to achieve comparable parameter
recovery to the analytic solution and be competitive in terms of computational
speed despite being reliant on sampling.
","[{'version': 'v1', 'created': 'Fri, 3 Jul 2020 13:30:50 GMT'}]",2020-07-06,"[['Chappell', 'Michael A.', ''], ['Craig', 'Martin S.', ''], ['Woolrich', 'Mark W.', '']]"
2111.07244,Sharat Ibrahimpur,Sharat Ibrahimpur and Chaitanya Swamy,"A Simple Approximation Algorithm for Vector Scheduling and Applications
  to Stochastic Min-Norm Load Balancing","An extended abstract is to appear in the Proceedings of the 5th SOSA,
  2022",,,,cs.DS,http://creativecommons.org/licenses/by/4.0/,"  We consider the Vector Scheduling problem on identical machines: we have m
machines, and a set J of n jobs, where each job j has a processing-time vector
$p_j\in \mathbb{R}^d_{\geq 0}$. The goal is to find an assignment $\sigma:J\to
[m]$ of jobs to machines so as to minimize the makespan $\max_{i\in
[m]}\max_{r\in [d]}( \sum_{j:\sigma(j)=i}p_{j,r})$. A natural lower bound on
the optimal makespan is lb $:=\max\{\max_{j\in J,r\in [d]}p_{j,r},\max_{r\in
[d]}(\sum_{j\in J}p_{j,r}/m)\}$. Our main result is a very simple O(log
d)-approximation algorithm for vector scheduling with respect to the lower
bound lb: we devise an algorithm that returns an assignment whose makespan is
at most O(log d)*lb.
  As an application, we show that the above guarantee leads to an O(log log
m)-approximation for Stochastic Minimum-Norm Load Balancing (StochNormLB). In
StochNormLB, we have m identical machines, a set J of n independent stochastic
jobs whose processing times are nonnegative random variables, and a monotone,
symmetric norm $f:\mathbb{R}^m \to \mathbb{R}_{\geq 0}$. The goal is to find an
assignment $\sigma:J\to [m]$ that minimizes the expected $f$-norm of the
induced machine-load vector, where the load on machine i is the (random) total
processing time assigned to it. Our O(log log m)-approximation guarantee is in
fact much stronger: we obtain an assignment that is simultaneously an O(log log
m)-approximation for StochNormLB with all monotone, symmetric norms. Next, this
approximation factor significantly improves upon the O(log m/log log
m)-approximation in (Ibrahimpur and Swamy, FOCS 2020) for StochNormLB, and is a
consequence of a more-general black-box reduction that we present, showing that
a $\gamma(d)$-approximation for d-dimensional vector scheduling with respect to
the lower bound lb yields a simultaneous $\gamma(\log m)$-approximation for
StochNormLB with all monotone, symmetric norms.
","[{'version': 'v1', 'created': 'Sun, 14 Nov 2021 05:20:43 GMT'}]",2021-11-16,"[['Ibrahimpur', 'Sharat', ''], ['Swamy', 'Chaitanya', '']]"
2202.02310,Lois Orosa,"Lois Orosa, Skanda Koppula, Yaman Umuroglu, Konstantinos
  Kanellopoulos, Juan Gomez-Luna, Michaela Blott, Kees Vissers, Onur Mutlu","EcoFlow: Efficient Convolutional Dataflows for Low-Power Neural Network
  Accelerators",,,,,cs.LG cs.AR,http://creativecommons.org/licenses/by/4.0/,"  Dilated and transposed convolutions are widely used in modern convolutional
neural networks (CNNs). These kernels are used extensively during CNN training
and inference of applications such as image segmentation and high-resolution
image generation. Although these kernels have grown in popularity, they stress
current compute systems due to their high memory intensity, exascale compute
demands, and large energy consumption.
  We find that commonly-used low-power CNN inference accelerators based on
spatial architectures are not optimized for both of these convolutional
kernels. Dilated and transposed convolutions introduce significant zero padding
when mapped to the underlying spatial architecture, significantly degrading
performance and energy efficiency. Existing approaches that address this issue
require significant design changes to the otherwise simple, efficient, and
well-adopted architectures used to compute direct convolutions.
  To address this challenge, we propose EcoFlow, a new set of dataflows and
mapping algorithms for dilated and transposed convolutions. These algorithms
are tailored to execute efficiently on existing low-cost, small-scale spatial
architectures and requires minimal changes to the network-on-chip of existing
accelerators. EcoFlow eliminates zero padding through careful dataflow
orchestration and data mapping tailored to the spatial architecture. EcoFlow
enables flexible and high-performance transpose and dilated convolutions on
architectures that are otherwise optimized for CNN inference.
  We evaluate the efficiency of EcoFlow on CNN training workloads and
Generative Adversarial Network (GAN) training workloads. Experiments in our new
cycle-accurate simulator show that EcoFlow 1) reduces end-to-end CNN training
time between 7-85%, and 2) improves end-to-end GAN training performance between
29-42%, compared to state-of-the-art CNN inference accelerators.
","[{'version': 'v1', 'created': 'Fri, 4 Feb 2022 18:48:36 GMT'}]",2022-02-07,"[['Orosa', 'Lois', ''], ['Koppula', 'Skanda', ''], ['Umuroglu', 'Yaman', ''], ['Kanellopoulos', 'Konstantinos', ''], ['Gomez-Luna', 'Juan', ''], ['Blott', 'Michaela', ''], ['Vissers', 'Kees', ''], ['Mutlu', 'Onur', '']]"
2108.09892,Yun-Bin Zhao Y,Yun-Bin Zhao and Zhi-Quan Luo,Dynamic Orthogonal Matching Pursuit for Signal Reconstruction,,,,,cs.IT cs.NA math.IT math.NA math.OC,http://creativecommons.org/licenses/by/4.0/,"  Orthogonal matching pursuit (OMP) is one of the mainstream algorithms for
signal reconstruction/approximation. It plays a vital role in the development
of compressed sensing theory, and it also acts as a driving force for the
development of other heuristic methods for signal reconstruction. In this
paper, we propose the so-called dynamic orthogonal matching pursuit (DOMP) and
its two enhanced versions which are more efficient than OMP in signal
reconstruction from a numerical point of view, and we provide a rigorous
analysis for these algorithms in terms of the restricted isometry property
(RIP) of the sensing matrix. The main result claims that the reconstruction
error via the proposed algorithms can be controlled and measured with the
number of iterations, sparsity level of the signal and the noise level of the
measurements. The analysis in this paper sufficiently exploits the structure of
the DOMP and an auxiliary convex optimization model (called approximation
counterpart) to establish a mild RIP-based performance result for DOMP and its
enhanced versions. Dramatically different from existing results for OMP-like
algorithms, the results established for the algorithms proposed in this paper
do not need any traditional assumptions imposed on the smallest nonzero element
of the target signal which is unknown before being actually reconstructed.
Moveover, the finite convergence of the algorithms for a class of large-scale
compressed sensing problems is also discussed.
","[{'version': 'v1', 'created': 'Mon, 23 Aug 2021 02:01:15 GMT'}]",2021-08-24,"[['Zhao', 'Yun-Bin', ''], ['Luo', 'Zhi-Quan', '']]"
2003.14402,Surafel Melaku Lakew Mr.,"Surafel M. Lakew, Matteo Negri, Marco Turchi","Low Resource Neural Machine Translation: A Benchmark for Five African
  Languages",Accepted for AfricaNLP workshop at ICLR 2020,,,,cs.CL,http://creativecommons.org/licenses/by/4.0/,"  Recent advents in Neural Machine Translation (NMT) have shown improvements in
low-resource language (LRL) translation tasks. In this work, we benchmark NMT
between English and five African LRL pairs (Swahili, Amharic, Tigrigna, Oromo,
Somali [SATOS]). We collected the available resources on the SATOS languages to
evaluate the current state of NMT for LRLs. Our evaluation, comparing a
baseline single language pair NMT model against semi-supervised learning,
transfer learning, and multilingual modeling, shows significant performance
improvements both in the En-LRL and LRL-En directions. In terms of averaged
BLEU score, the multilingual approach shows the largest gains, up to +5 points,
in six out of ten translation directions. To demonstrate the generalization
capability of each model, we also report results on multi-domain test sets. We
release the standardized experimental data and the test sets for future works
addressing the challenges of NMT in under-resourced settings, in particular for
the SATOS languages.
","[{'version': 'v1', 'created': 'Tue, 31 Mar 2020 17:50:07 GMT'}]",2020-04-01,"[['Lakew', 'Surafel M.', ''], ['Negri', 'Matteo', ''], ['Turchi', 'Marco', '']]"
